Firm,Website,Firm's Investment Category,HQ
Highland Europe,www.highlandeurope.com,"Retail, Enterprise, AI/ML, Social, Big Data, Mobile, E-Commerce","Geneva, Geneve, Switzerland"
HOF Capital,hofvc.com,"Life Sci., Big Data, Finance, Healthcare, Education, Gaming","New York, New York, United States"
Homebrew,www.homebrew.co,"SaaS, Enterprise, Healthcare, Mobile, Marketplace, Big Data, Finance","San Francisco, California, United States"
HorizonX Ventures,http://www.boeing.com/company/key-orgs/horizon-x/ventures/saiesh-reddy-bio.page,"Robotics, Energy, Transportation, IoT, Big Data, AI/ML, AR/VR","Chicago, Illinois, United States"
HTGF,high-tech-gruenderfonds.de,"E-Commerce, Life Sci., Mobile, Enterprise, Healthcare, SaaS, Consumer","Bonn, Nordrhein-Westfalen, Germany"
Hummer Winblad,hwvp.com,"Mobile, Big Data, SaaS, Security, Social, Enterprise",
HV Holtzbrinck Ventures,www.hvventures.com,"Mobile, Finance, Enterprise, Social, E-Commerce, Consumer","Munich, Bayern, Germany"
Hyde Park Venture Partners,hydeparkvp.com,"Big Data, AI/ML, SaaS, Finance, Enterprise, Mobile","Chicago, Illinois, United States"
IA Ventures,https://twitter.com/iaventures/lists/ia-partners/members,"SaaS, Enterprise, AI/ML, Healthcare, Finance, Big Data, Social","New York, New York, United States"
Icon Ventures,www.iconventures.com,"SaaS, Big Data, Security, Social, Mobile, Enterprise","Palo Alto, California, United States"
Ignition Partners,www.ignitionpartners.com,"Social, AI/ML, Big Data, Security, SaaS, Mobile, Enterprise","Bellevue, Washington, United States"
Index Ventures,www.indexventures.com,"Enterprise, Finance, E-Commerce, Healthcare, SaaS, Mobile, Consumer","Geneva, Geneve, Switzerland"
India Quotient,www.indiaquotient.in,"Healthcare, Enterprise, Media, Finance, Retail, Social, E-Commerce","Mumbai, Maharashtra, India"
IndusAge Partners,www.indusage.com,"Energy, Security, Hardware, Legal, Media, Consumer, Government","Menlo Park, California, United States"
Initial Capital,www.initialcapital.com,"E-Commerce, Mobile, Media, Enterprise, Security, Consumer","London, England, United Kingdom"
Initialized Capital,initialized.com,"SaaS, AI/ML, Social, Gaming, Enterprise, Mobile, E-Commerce","San Francisco, California, United States"
Innova Memphis,www.innovamemphis.com,"Big Data, Life Sci., Healthcare, Mobile","Memphis, Tennessee, United States"
Innovation Endeavors,www.innovationendeavors.com,"SaaS, Social, E-Commerce, Mobile, Enterprise, Big Data, Healthcare","Palo Alto, California, United States"
iNovia Capital,www.inovia.vc,"AI/ML, Social, E-Commerce, SaaS, Enterprise, Big Data, Consumer","Montréal, Quebec, Canada"
Insignia Ventures Partners,www.insignia.vc,"Transportation, Finance, E-Commerce, Real Estate, Mobile, Consumer","Singapore, Central Region, Singapore"
Intellectual Ventures,www.intellectualventures.com,"Social, Clean Tech, Energy, Mobile, AR/VR, Education, AI/ML","Bellevue, Washington, United States"
Intudo Ventures,intudovc.com,"Automotive, Transportation","Indonesia, Asia"
Inventure Partners,inventurepartners.com,"SaaS, Retail, Finance, Mobile, Education, Transportation, E-Commerce","Moscow, Moscow City, Russian Federation"
Inventus Capital Partners,inventuscap.com,"Education, Mobile, Enterprise, Social, SaaS, E-Commerce, Consumer","San Mateo, California, United States"
Invest Nebraska,www.investnebraska.com,"Finance, E-Commerce, Marketplace, Healthcare, Sports, Mobile, Social","Lincoln, Nebraska, United States"
Jazz Venture Partners,www.jazzvp.com,"Enterprise, Gaming, Healthcare, AI/ML, Mobile, Consumer","San Francisco, California, United States"
Jerusalem Venture Partners (JVP),www.jvpvc.com,"Big Data, AI/ML, Gaming, SaaS, Enterprise, Mobile, Security","Jerusalem, Yerushalayim, Israel"
JetBlue Technology Ventures,www.jetblueventures.com,,"San Carlos, California, United States"
Jump Capital,jumpcap.com,"Social, Mobile, Healthcare, Enterprise, Big Data, E-Commerce, Finance","Chicago, Illinois, United States"
